2001 Scottish National Park Populations - Output Area Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,OA,OUTPUT AREA POPULATION,,,CODE,NATIONAL PARK NAME,OA,OUTPUT AREA POPULATION,
,1,The Cairngorms National Park,60QT001556,103,,,2,The Loch Lomond and The Trossachs National Park,60QD000587,90,
,1,The Cairngorms National Park,60QT000019,181,,,2,The Loch Lomond and The Trossachs National Park,60QD000149,76,
,1,The Cairngorms National Park,60QT001388,86,,,2,The Loch Lomond and The Trossachs National Park,60QD000147,119,
,1,The Cairngorms National Park,60QT000025,125,,,2,The Loch Lomond and The Trossachs National Park,60QD000146,85,
,1,The Cairngorms National Park,60QT000022,181,,,2,The Loch Lomond and The Trossachs National Park,60QD000145,115,
,1,The Cairngorms National Park,60QT000018,123,,,2,The Loch Lomond and The Trossachs National Park,60RG000681,156,
,1,The Cairngorms National Park,60QT000024,112,,,2,The Loch Lomond and The Trossachs National Park,60QD000677,63,
,1,The Cairngorms National Park,60QT000505,70,,,2,The Loch Lomond and The Trossachs National Park,60RG000511,90,
,1,The Cairngorms National Park,60QT000507,169,,,2,The Loch Lomond and The Trossachs National Park,60RG000568,195,
,1,The Cairngorms National Park,60QT001386,71,,,2,The Loch Lomond and The Trossachs National Park,60RG000567,256,
,1,The Cairngorms National Park,60QT000017,156,,,2,The Loch Lomond and The Trossachs National Park,60RG000550,105,
,1,The Cairngorms National Park,60QT001552,115,,,2,The Loch Lomond and The Trossachs National Park,60RG000549,78,
,1,The Cairngorms National Park,60QT000486,112,,,2,The Loch Lomond and The Trossachs National Park,60RG000533,69,
,1,The Cairngorms National Park,60QT000487,96,,,2,The Loch Lomond and The Trossachs National Park,60RB000097,160,
,1,The Cairngorms National Park,60QT001554,67,,,2,The Loch Lomond and The Trossachs National Park,60RG000512,69,
,1,The Cairngorms National Park,60QT000489,85,,,2,The Loch Lomond and The Trossachs National Park,60RG000579,144,
,1,The Cairngorms National Park,60QT001379,181,,,2,The Loch Lomond and The Trossachs National Park,60RG000510,72,
,1,The Cairngorms National Park,60QT000005,58,,,2,The Loch Lomond and The Trossachs National Park,60RG000500,175,
,1,The Cairngorms National Park,60QT000492,72,,,2,The Loch Lomond and The Trossachs National Park,60RG000499,138,
,1,The Cairngorms National Park,60QT001384,106,,,2,The Loch Lomond and The Trossachs National Park,60RG000498,82,
,1,The Cairngorms National Park,60QT001378,73,,,2,The Loch Lomond and The Trossachs National Park,60RG000497,110,
,1,The Cairngorms National Park,60QT001553,134,,,2,The Loch Lomond and The Trossachs National Park,60RG000496,130,
,1,The Cairngorms National Park,60QT000488,93,,,2,The Loch Lomond and The Trossachs National Park,60RG000526,129,
,1,The Cairngorms National Park,60QT000490,109,,,2,The Loch Lomond and The Trossachs National Park,60RG000672,96,
,1,The Cairngorms National Park,60QT000006,98,,,2,The Loch Lomond and The Trossachs National Park,60RG000680,150,
,1,The Cairngorms National Park,60QT001382,197,,,2,The Loch Lomond and The Trossachs National Park,60RG000679,54,
,1,The Cairngorms National Park,60QT000004,71,,,2,The Loch Lomond and The Trossachs National Park,60RG000678,134,
,1,The Cairngorms National Park,60QT000485,110,,,2,The Loch Lomond and The Trossachs National Park,60RG000677,119,
,1,The Cairngorms National Park,60QT001416,118,,,2,The Loch Lomond and The Trossachs National Park,60RG000676,93,
,1,The Cairngorms National Park,60QT000484,167,,,2,The Loch Lomond and The Trossachs National Park,60RG000675,85,
,1,The Cairngorms National Park,60QT001383,56,,,2,The Loch Lomond and The Trossachs National Park,60RG000569,76,
,1,The Cairngorms National Park,60QT000493,119,,,2,The Loch Lomond and The Trossachs National Park,60RG000673,70,
,1,The Cairngorms National Park,60QT000013,131,,,2,The Loch Lomond and The Trossachs National Park,60RG000578,147,
,1,The Cairngorms National Park,60QT000014,62,,,2,The Loch Lomond and The Trossachs National Park,60RG000671,86,
,1,The Cairngorms National Park,60QT000012,73,,,2,The Loch Lomond and The Trossachs National Park,60RG000583,138,
,1,The Cairngorms National Park,60QT001415,160,,,2,The Loch Lomond and The Trossachs National Park,60RG000582,85,
,1,The Cairngorms National Park,60QT001417,71,,,2,The Loch Lomond and The Trossachs National Park,60RG000581,113,
,1,The Cairngorms National Park,60QT000007,181,,,2,The Loch Lomond and The Trossachs National Park,60RG000580,137,
,1,The Cairngorms National Park,60QT000009,183,,,2,The Loch Lomond and The Trossachs National Park,60RG000493,100,
,1,The Cairngorms National Park,60QT000008,134,,,2,The Loch Lomond and The Trossachs National Park,60RG000674,134,
,1,The Cairngorms National Park,60QT000010,154,,,TOTAL,,132,15365,
,1,The Cairngorms National Park,60QT001749,174,,,,,,,
,1,The Cairngorms National Park,60QT001380,62,,,,,,,
,1,The Cairngorms National Park,60QT000491,82,,,,,,,
,1,The Cairngorms National Park,60QT000011,106,,,,,,,
,TOTAL,,137,15864,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
