"2001 Multi-member Ward Populations - Data Zone, Output Area & Postcode Based",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,CODE,MULTIMEMBER WARD NAME,PC POPULATION,,PCs,,OA POPULATION,,OAs,,Δ (OA POP - PC POP),,%Δ (OA POP - PC POP),,DZ POPULATION,,DZs,,Δ (DZ POP - PC POP),,%Δ (DZ POP - PC POP),
,208,Mid Formartine,"12,899",,485,,"12,846",,97,,-53,,-0.41,,"13,914",,18,,"1,015",,7.87,
,209,Ellon and District,"13,041",,428,,"12,847",,94,,-194,,-1.49,,"12,112",,17,,-929,,-7.12,
,210,West Garioch,"10,252",,399,,"10,239",,74,,-13,,-0.13,,"9,437",,13,,-815,,-7.95,
,211,Inverurie and District,"11,543",,308,,"11,597",,91,,54,,0.47,,"11,648",,16,,105,,0.91,
,212,East Garioch,"8,055",,265,,"8,098",,65,,43,,0.53,,"7,586",,10,,-469,,-5.82,
,213,Westhill and District,"12,972",,378,,"13,013",,93,,41,,0.32,,"13,780",,18,,808,,6.23,
,214,"Huntly, Strathbogie and Howe of Alford","13,982",,714,,"14,027",,111,,45,,0.32,,"15,206",,19,,"1,224",,8.75,
,215,"Aboyne, Upper Deeside and Donside","10,490",,588,,"10,535",,85,,45,,0.43,,"10,718",,15,,228,,2.17,
,216,Banchory and Mid Deeside,"9,485",,349,,"9,476",,75,,-9,,-0.09,,"8,794",,12,,-691,,-7.29,
,217,North Kincardine,"13,147",,283,,"13,150",,92,,3,,0.02,,"12,856",,16,,-291,,-2.21,
,218,Stonehaven and Lower Deeside,"12,576",,371,,"12,564",,100,,-12,,-0.10,,"12,872",,17,,296,,2.35,
,219,Mearns,"12,828",,509,,"12,792",,103,,-36,,-0.28,,"12,417",,17,,-411,,-3.20,
,301,Kirriemuir and Dean,"10,905",,533,,"10,779",,93,,-126,,-1.16,,"9,930",,15,,-975,,-8.94,
,302,Brechin and Edzell,"11,132",,444,,"11,101",,99,,-31,,-0.28,,"11,745",,15,,613,,5.51,
,303,Forfar and District,"14,930",,431,,"14,968",,132,,38,,0.25,,"15,145",,19,,215,,1.44,
,304,Monifeith and Sidlaw,"14,509",,428,,"14,550",,118,,41,,0.28,,"14,629",,20,,120,,0.83,
,305,Carnoustie and District,"12,006",,337,,"12,013",,99,,7,,0.06,,"11,954",,15,,-52,,-0.43,
,306,Arbroath West and Letham,"14,838",,448,,"14,934",,120,,96,,0.65,,"16,076",,20,,"1,238",,8.34,
,307,Arbroath East and Lunan,"15,446",,517,,"15,459",,136,,13,,0.08,,"14,237",,19,,"-1,209",,-7.83,
,308,Montrose and District,"14,634",,404,,"14,596",,134,,-38,,-0.26,,"14,684",,19,,50,,0.34,
,401,South Kintyre,"7,184",,188,,"7,216",,64,,32,,0.45,,"7,609",,10,,425,,5.92,
,402,Kintyre and the Islands,"6,845",,257,,"6,780",,59,,-65,,-0.95,,"6,464",,9,,-381,,-5.57,
,403,Mid Argyll,"7,726",,225,,"7,747",,62,,21,,0.27,,"7,670",,10,,-56,,-0.72,
