2001 Scottish National Park Populations - Postcode Based,,,,,,,,,,,
,,,,,,,,,,,
,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,,,CODE,NATIONAL PARK NAME,PC,POSTCODE POPULATION,
,1,The Cairngorms National Park,PH20 1DU,21,,,2,The Loch Lomond and The Trossachs National Park,G63 0HY,36,
,1,The Cairngorms National Park,PH20 1DT,129,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AA,10,
,1,The Cairngorms National Park,PH20 1DS,3,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AB,10,
,1,The Cairngorms National Park,PH20 1DR,55,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AD,7,
,1,The Cairngorms National Park,PH20 1EA,16,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AE,8,
,1,The Cairngorms National Park,PH20 1DP,13,,,2,The Loch Lomond and The Trossachs National Park,FK17 8BA,4,
,1,The Cairngorms National Park,PH20 1EB,19,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AG,94,
,1,The Cairngorms National Park,PH20 1DJ,11,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AZ,18,
,1,The Cairngorms National Park,PH20 1DH,5,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AL,64,
,1,The Cairngorms National Park,PH20 1DG,34,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AR,82,
,1,The Cairngorms National Park,PH20 1DE,2,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AS,83,
,1,The Cairngorms National Park,PH20 1DD,30,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AU,5,
,1,The Cairngorms National Park,PH20 1DA,38,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AW,8,
,1,The Cairngorms National Park,PH20 1BX,44,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AX,0,
,1,The Cairngorms National Park,AB35 5GL,6,,,2,The Loch Lomond and The Trossachs National Park,FK17 8DD,65,
,1,The Cairngorms National Park,PH20 1DQ,2,,,2,The Loch Lomond and The Trossachs National Park,FK17 8AF,5,
,1,The Cairngorms National Park,PH21 1EN,16,,,2,The Loch Lomond and The Trossachs National Park,FK17 8ER,54,
,1,The Cairngorms National Park,PH21 1HA,65,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EE,21,
,1,The Cairngorms National Park,PH21 1EZ,16,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EF,11,
,1,The Cairngorms National Park,PH21 1EY,35,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EG,10,
,1,The Cairngorms National Park,PH21 1EX,4,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EH,60,
,1,The Cairngorms National Park,PH21 1EW,14,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EL,146,
,1,The Cairngorms National Park,PH21 1EU,9,,,2,The Loch Lomond and The Trossachs National Park,FK17 8EN,19,
